Best parameters found: {'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}
media: 0.687  desvio: (+/-0.177)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 12} 
media: 0.759  desvio: (+/-0.096)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 14} 
media: 0.704  desvio: (+/-0.197)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 12, 'min_samples_split': 16} 
media: 0.721  desvio: (+/-0.146)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 2} 
media: 0.704  desvio: (+/-0.127)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 4} 
media: 0.683  desvio: (+/-0.116)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 6} 
media: 0.689  desvio: (+/-0.155)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 8} 
media: 0.694  desvio: (+/-0.222)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 10} 
media: 0.698  desvio: (+/-0.163)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 12} 
media: 0.710  desvio: (+/-0.184)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 14} 
media: 0.687  desvio: (+/-0.190)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 14, 'min_samples_split': 16} 
media: 0.707  desvio: (+/-0.197)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 2} 
media: 0.741  desvio: (+/-0.195)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 4} 
media: 0.628  desvio: (+/-0.276)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 6} 
media: 0.763  desvio: (+/-0.084)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 8} 
media: 0.733  desvio: (+/-0.142)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 10} 
media: 0.693  desvio: (+/-0.131)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 12} 
media: 0.706  desvio: (+/-0.142)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 14} 
media: 0.636  desvio: (+/-0.228)  param: {'max_depth': 3, 'max_features': 5, 'min_samples_leaf': 16, 'min_samples_split': 16} 
media: 0.711  desvio: (+/-0.112)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 2} 
media: 0.699  desvio: (+/-0.189)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 4} 
media: 0.724  desvio: (+/-0.139)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 6} 
media: 0.717  desvio: (+/-0.158)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 8} 
media: 0.692  desvio: (+/-0.188)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 10} 
media: 0.676  desvio: (+/-0.173)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 12} 
media: 0.728  desvio: (+/-0.178)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 14} 
media: 0.682  desvio: (+/-0.267)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 16} 
media: 0.675  desvio: (+/-0.184)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 2} 
media: 0.747  desvio: (+/-0.091)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 4} 
media: 0.681  desvio: (+/-0.258)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 6} 
media: 0.659  desvio: (+/-0.181)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 8} 
media: 0.694  desvio: (+/-0.179)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 10} 
media: 0.658  desvio: (+/-0.247)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 12} 
media: 0.686  desvio: (+/-0.183)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 14} 
media: 0.705  desvio: (+/-0.146)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 4, 'min_samples_split': 16} 
media: 0.679  desvio: (+/-0.149)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 2} 
media: 0.670  desvio: (+/-0.163)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 4} 
media: 0.742  desvio: (+/-0.128)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 6} 
media: 0.661  desvio: (+/-0.212)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 8} 
media: 0.730  desvio: (+/-0.161)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 10} 
media: 0.695  desvio: (+/-0.140)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 12} 
media: 0.660  desvio: (+/-0.245)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 14} 
media: 0.682  desvio: (+/-0.205)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 6, 'min_samples_split': 16} 
media: 0.732  desvio: (+/-0.173)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 2} 
media: 0.712  desvio: (+/-0.274)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 4} 
media: 0.688  desvio: (+/-0.180)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 6} 
media: 0.690  desvio: (+/-0.211)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 8} 
media: 0.640  desvio: (+/-0.203)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 10} 
media: 0.715  desvio: (+/-0.109)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 12} 
media: 0.677  desvio: (+/-0.259)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 14} 
media: 0.696  desvio: (+/-0.238)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 8, 'min_samples_split': 16} 
media: 0.686  desvio: (+/-0.253)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 2} 
media: 0.735  desvio: (+/-0.129)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 4} 
media: 0.712  desvio: (+/-0.225)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 6} 
media: 0.721  desvio: (+/-0.185)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 8} 
media: 0.767  desvio: (+/-0.081)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 10} 
media: 0.679  desvio: (+/-0.237)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 12} 
media: 0.708  desvio: (+/-0.104)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 14} 
media: 0.678  desvio: (+/-0.148)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 10, 'min_samples_split': 16} 
media: 0.706  desvio: (+/-0.168)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 2} 
media: 0.750  desvio: (+/-0.107)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 4} 
media: 0.707  desvio: (+/-0.227)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 6} 
media: 0.721  desvio: (+/-0.200)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 8} 
media: 0.667  desvio: (+/-0.203)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 10} 
media: 0.719  desvio: (+/-0.182)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 12} 
media: 0.714  desvio: (+/-0.164)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 14} 
media: 0.739  desvio: (+/-0.157)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 12, 'min_samples_split': 16} 
media: 0.664  desvio: (+/-0.095)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 2} 
media: 0.703  desvio: (+/-0.139)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 4} 
media: 0.649  desvio: (+/-0.228)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 6} 
